451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
327414	4607051550964	Батон Нарезной 0,4кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
157428	2220066900009	ПИСКАРЕВСКИЙ Творог зерненый 6%ж 0,4кг ст(Пискаревский)	Молочная продукция	Кисломолочные традиционные продукты	Творог	Зерненый творог
168035	-	Молоко российское паст 3,2% 1л ф/п(Молком Пензенский)	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
288046	2016203600329	Торт Северное сияние вар сгущ, сливки 1кг кор(МЕТРОПОЛИС)	Мучные кондитерские изделия	Мучные кондитерские изделия (охл)	Торты	Торты
131902	4607036321480	Батон с отрубями 0,45кг (Ессентуки-Хлеб)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Хлеб с отрубями
131904	4607036321527	Булочка Сказка 0,07кг (Ессентуки- Хлеб)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Слоеные изделия с начинкой
131910	4607081112163	Батон с отрубями в/с 300г (Георг.ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Хлеб с отрубями
327441	2308116	Желудки ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Субпродукты курицы охлажденные
327442	2308117	Сердца ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Субпродукты курицы охлажденные
327436	2308112	Крылья ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Крыло куриное охлажденная
327438	2308113	Свинина рулька н/к зам. 1кг (в) сырье	Мясо	Мясо животных замороженное	Свинина замороженная	Свинина крупнокусковая замороженная
327439	2308114	Филе ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Филе куриное охлажденное
327443	2308118	Печень ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Субпродукты курицы охлажденные
353296	4606786000089	Водка Бенатовская 40% 0,5л (Бенат):12	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
288352	4607118240289	Кекс Малышок с изюмом 0,5кг п/уп(ООО Хлебозвод № 1)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Прочие мелкоштучные изделия
136144	2368871	Конфеты Красная шапочка(в)(Кр. Октябрь):4	Кондитерские изделия	Конфеты весовые	Конфеты шоколадные (вес)	Конфеты шоколадные (вес)
175173	2330762	Сосиски Томаровские катВ мини п/а мясн/пр(Томаровский):12	Мясная гастрономия	Сосиски, сардельки	Сосиски	Сосиски
327445	2308119	Утка тушка зам. 1кг (в) сырье	Птица	Мясо птицы замороженное	Мясо утки замороженное	Тушка утки замороженная
327431	2308108	Грудка ЦБ охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Грудка куриная охлажденная
135867	4600873105015	ЧВИЖЕПСЕ Минеральная вода газ 1,5л ПЭТ(Мацеста):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
327450	2308122	Индейка тушка охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо индейки охлажденное	Тушка индейки охлажденная
135628	4600905000479	АИСТ Хоз мыло с глицерином 150г(Аист):60	Бытовая химия	Средства для стирки	Хозяйственное мыло	Хозяйственное мыло
135935	4602745000466	Кальмар натур. 240г№6:48	Консервированные продукты	Консервы рыбные	Консервы из нерыбного сырья	Консервы из нерыбного сырья
327434	2308110	Тушка ЦБ охл 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Тушка курицы охлажденная
327452	2308123	Крылья индейки охл (сырье) 1кг	Птица	Мясо птицы замороженное	Мясо индейки замороженное	Части индейки замороженные
210094	4607015740080	Кефир нежир 1л ф/п(Пушкиногорский МСЗ):12	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
135975	8428916989301	ACORSA Каперсы c/б 140г:12	Консервированные продукты	Консервы овощные и грибные	Овощная закуска	Каперсы, артишоки
327453	2308124	Голень индейки н/к охл. 1кг (в) сырье	Птица	Мясо птицы охлажденное	Мясо индейки охлажденное	Части индейки охлажденные
112714	4600076123113	Коньяк россий трехлет Три звездочки 40% 0,5л (Кизляр. КЗ):20	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
112715	4603146002158	Коньяк россий категор КВ Лезгинка 40% 0,5л (Кизляр. КЗ) :20	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	Более 5 лет
136823	8934722011018	Бананы сушеные 100г.:100	Снэки	Орехи и сухофрукты (фас)	Сухофрукты (фас)	Сухофрукты другие (фас)
136462	4607026340132	Рос Шамп Абрау-Дюрсо белое п/сух 0,75л (Абрау-Дюрсо):6	Вино	Вина игристые	Вина игристые белые полусухие	Россия/Крым вина игристые белые полусухие
327454	2308125	Свинина шпиг хребтовой охл. 1кг (в) сырье	Мясо	Мясо животных охлажденное	Свинина охлажденная	Свинина крупнокусковая охлажденная
112717	4603146002127	Коньяк россий пятилет Пять звездочек 40% 0,5л(Кизляр. КЗ):20	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
112720	4603146002219	Коньяк КС Дагестан 40% 0,5л (Кизлярский КЗ) :20	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	Более 5 лет
135002	4005808588558	NIVEA Бальзам п/бритья усп д/чув кожи100мл(Байерсдорф):6/24	Уход и гигиена	Бритье	После бритья	После бритья бальзамы
156663	4610005660046	Булка СЛАВЯНКА в/с 0,3кг (Сердобский хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
327447	4607051551244	Хлеб Тостерный в/с 0,45кг п/уп (Хлебозавод № 1)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой нарезка
137523	2370079	Арахис сырой(в)(Мастерфуд):10	Снэки	Орехи и сухофрукты (вес)	Орехи (вес)	Арахис (вес)
137537	2370189	Инжир(в):5	Снэки	Орехи и сухофрукты (вес)	Сухофрукты (вес)	Инжир (вес)
327458	4607051550391	Хлеб 8 злаков 0,2кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Прочие диетические хлебные изделия
138594	4008638218015	LORADO Шампиньоны резаные 425 мл ж/б :12	Консервированные продукты	Консервы овощные и грибные	Грибные консервы	Натуральные грибы
327455	4607051550490	Хлеб Форм. заварной 0,6кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
327457	4607051550476	Хлеб Крестьянский 0,38кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
355325	4627104862301	Сетевой удл-ль У-31005м(У-3)3 гнезда б/з,3м:6/30	Промышленные товары	Электрика	Инсталляция	Удлинители
139590	1061902377378	Плюшка Московская в/с 0.15кг(Хлеб-Сервис)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
139591	1061902377118	Рулетик Лакомка 0,2кг (Хлеб-Сервис)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия с начинкой
140128	3838824067520	PALETTE Краска д/в VN3 Слива(Шварцкопф):5/10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
355326	4627104862318	Сетевой удл-ль У-31005м(У-3)3 гнезда б/з,5м:5/25	Промышленные товары	Электрика	Инсталляция	Удлинители
139271	-	ХНА иранская (н)125гр:40	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Натуральные краски для волос
139272	-	Басма иранская 125гр :40	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Натуральные краски для волос
139274	4602121001223	АРТКОЛОР Хна бесцветная 125г (Стимул Колор):4/40	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Натуральные краски для волос
139703	2354676	СЕЛЬДЕРЕЙ стебель свежий	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Сельдерей	Сельдерей стебли
139704	2360357	ЯБЛОКИ Старкримсон свеж.Сад Гигант(цена за 1 кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
139705	2095297400068	Лук "МС Гарнирофф" белый 1кг цена за шт	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Лук	Лук красный, белый
139706	2353726	груша суш(фас)(цена за 1кг):12,5	Снэки	Орехи и сухофрукты (вес)	Сухофрукты (вес)	Сухофрукты другие (вес)
139708	2394607	ЯБЛОКИ отеч. Голден (цена за 1кг) :15	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
139710	2354807	Миндаль(фас)(цена за 1кг):10	Снэки	Орехи и сухофрукты (вес)	Орехи (вес)	Миндаль (вес)
139711	2353794	ЯБЛОКИ Гала свеж.(цена за кг)(фас)	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
139718	2353847	ВИНОГРАД Микс свежий :10	Свежие фрукты и овощи	Свежие плоды и ягоды	Виноград	Виноград
139720	2310363	ГРЕЙПФРУТ КРАСНЫЙ Израиль (цена за кг):15	Свежие фрукты и овощи	Свежие плоды и ягоды	Грейпфрут	Грейпфрут
139721	2352393	Груша свеж. отечественная (цена за 1кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Груши	Груши
139352	4010864000074	SALAMANDER Combi Proper Пена-шампунь аэрозоль125мл:12	Бытовая химия	Уход за одеждой и обувью	Уход за обувью	Жидкости для обуви
139727	2360433	БАКЛАЖАНЫ "Граффити" ( цена за 1 кг). Фас.	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Баклажаны	Баклажаны
139731	2360393	ВИНОГРАД белый без косточки фас (цена за 1 кг)	Свежие фрукты и овощи	Свежие плоды и ягоды	Виноград	Виноград
327472	4607113110426	Батон Нарезной йодированный 0,4кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
137770	4601501082562	ОХОТА Пиво крепкое с/б 0,5л (ООО ОПХ) :20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
136947	4600890000096	GREEN MAMA Скраб кедр орех и Уссур хмель170мл:10	Уход и гигиена	Уход за кожей лица	Очищение	Скраб, пилинг
137596	4607083761093	Масло Крестьянское 72,5% 0,2кг фол (Буденновскмолпродукт):30	Молочная продукция	Масло и маргарин	Масло коровье	Масло сливочное
137607	-	РАСТИШКА Творожок Лесные ягоды-пер-гр 4х0,05кг(Данон):12	Детское питание	Молочное детское питание	Творожные изделия детские	Творожные изделия детские старше 3-х лет
137641	2701240	Мясо ЦБ Благояр для жарки охл 1кг лот (Ставроп бройлер):5	Птица	Мясо птицы охлажденное	Мясо курицы охлажденное	Тушка курицы охлажденная
327468	4607113110334	Хлеб Дарницкий новый 0,6кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
140493	4601203001847	МАСТЕРИЦА Блинчики с мясом 0,42 кг(Талосто ООО):9	Замороженная продукция	Замороженные полуфабрикаты	Замороженные блины	Замороженные блины несладкие
283963	4601374003121	У ПАЛЫЧА Торт "Прага" 0,55кг(Компания М)	Мучные кондитерские изделия	Мучные кондитерские изделия (охл)	Торты	Торты
355327	4607060958287	Удлинитель V.I.-TOK У3-Е 3р5м с з/к :6/30	Промышленные товары	Электрика	Инсталляция	Удлинители
140465	4607102690014	Хлеб Воронежский рж. Обд. Пш. 2с 0.67 (Хлебзавод № 2)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
140468	4607100970132	Батон с изюмом Пш. вс 0.400 (Хлебозавод №7)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
140470	4607100970224	Булка Город 1 с 0,2 (Хлебозавод №7)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
140565	4607083760102	Масса тв. Московская 20% изюм 0.2кг фл/п(Буденновск.):6	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные массы
327471	4607113110358	Батон Рыбинский 0,35кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
156664	4610005660053	Булка УЛИТКА в/с 0,2кг (Сердобский хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
327469	4607113111416	Хлеб Старорусский 0,4кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
142294	-	ЛИАНОЗОВСКОЕ Молоко стер 1,5% 1л(Лианоз МК)	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко стерилизованное
327466	4607051550384	Хлеб Украинский новый 0,6кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
327476	4607113110891	Булка Городская 0,2кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
327470	4607113110679	Хлеб Заварной Рыбинский 0,4кг уп. (ОАО Рыбинск-хлеб):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
140566	4607083761277	Сырок с изюмом 4,5% 0,1кг фол(Буденновскмолпродукт):10	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные сырки
140570	4607083761239	Бифидок 2,5% 0,5л п/пак (Буденновскмолпродукт):6	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
140571	4607083760058	Кефир 2,5% 0,5л фл/п(Буденновскмолпродукт):10	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
140350	4606488007096	Вода груша газ 1,5л(Фруктовые воды):8	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
140351	4606488007140	Вода Крем-Cода газ 1,5л(Фруктовые воды):8	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
140352	4606488000271	Вода лимонад газ 1,5л(Фруктовые воды):8	Безалкогольные напитки	Напитки	Газированные напитки российских брендов	Газированные напитки российских брендов от 0,8л
140355	4603334000201	ЭДЕЛЬВЕЙС Минеральная вода газ 1,5л пл/бут(BORJOMI):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
140619	4610018051558	Вино Монастырская Изба белое полусладкое 0,7л (Россия):6	Вино	Вина виноградные	Вина виноградные белые сладкие/полусладкие	Россия вина виноградные белые сладкие/полусладкие
153040	4620001350933	Бычки в т/с :72	Консервированные продукты	Консервы рыбные	Консервы рыбные в томатном соусе	Консервы из бычков в томатном соусе
143385	-	ВЕРЕС Фасоль с овощами: 530г	Консервированные продукты	Консервы овощные и грибные	Овощная закуска	Закуски из фасоли
144101	460028500101	СЛАВЯНОВСКАЯ Минеральная вода газ1,5л ПЭТ(Элита Минерал):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
144288	4600697101521	ДЕТСКОЕ т/мыло 4*100 400гр (Нев.косметика):18	Уход и гигиена	Средства для гигиены и ухода за детьми	Мыло детское	Кусковое детское мыло
156007	2310221	ЛУК РЕПЧАТЫЙ ранний (цена за 1 кг) :10	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Лук	Лук желтый репчатый
144149	4607012930514	КУБАНСКАЯ БУРЕНКА Молоко паст 2,5% 1л т/б(ВБД):10	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
144150	4607012930477	КУБАНСКАЯ БУРЕНКА Кефир 2,5% 1л т/рекс(ВБД) :10	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
144192	8690506418182	ARKO Крем п/бритья освежающий 50мл(Эвиап):24	Уход и гигиена	Бритье	После бритья	После бритья кремы
144250	2320437	ЯБЛОКИ МОДИ свеж. (цена за кг):10	Свежие фрукты и овощи	Свежие плоды и ягоды	Яблоки	Яблоки
144756	4607052030069	Булка "Городская" в/с:0.2кг(Сочинский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
144758	4607052030373	Слойка "Свердловская" в/с:0.1кг(Сочинский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
144352	4607028781742	Крупа Пшеничная фас 800г :6	Бакалея	Крупы, бобовые	Пшеничная крупа	Пшеничная крупа рассыпная
144358	4600682643296	АРСЕНАЛЬНОЕ Пиво традиционное №5 ПЭТ 1,5л (Балтика) :9	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
145402	4602950480015	Хлеб Подовый 0,7кг (Лимак)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный подовый
145405	-	Булка городская в/с 0,2кг (Липецкий х/з№3)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия без начинки
145408	4602950580173	Рулетик с повидлом в/с 0,1кг (Липецкий х/з №3)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Сдобные изделия с начинкой
144489	-	Творог обезжиренный 0,2кг фл/п(Саратовский МК)	Молочная продукция	Кисломолочные традиционные продукты	Творог	Традиционный творог
145630	4607029020017	ЛЕТНИЙ ДЕНЬ Молоко паст Особ. 3,2% 1л п/пак(Липецкмолоко):10	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко пастеризованное
145168	4014400400007	TOFFIFEE шок. конфеты 125 г:5/30	Кондитерские изделия	Шоколадные конфеты в коробках	Шоколадные конфеты в коробках	Шоколадные конфеты в коробках
208354	8727900021257	Лампа A55 60W 230V E27 CL 1CT Пила :10/120	Промышленные товары	Электрика	Электрические лампы	Лампы накаливания
144896	4605922001829	BROOKE BOND Чай черный пакетированный 50х1,8 :12	Чай	Черный чай	Черный чай пакетированный классический	Чай черный пакетированный классический
144911	5000174194289	HEAD&SHOULDERS Шампунь Цитрус свежесть 200мл(Проктер):6	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
144912	3014260286545	GILLETTE Slalom Кассеты 5шт (Проктер) :20/400	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
351513	2352006	Колбаса Краковская особая п/к (в) н/об (Царицыно):6	Мясная гастрономия	Колбасы	Полукопченые колбасные изделия	Полукопченые колбасы
145476	4607018780168	Батон нарезной 1с 0,4кг (Волжский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
145703	2351724	Шашлык Свиной замор.ведро цена за 1кг (в) (ОМПК):6	Мясо	Мясо животных замороженное	Полуфабрикаты мясные замороженные	Шашлык замороженный
144949	0030637802050	МИХАЙЛОВ КУРЕНЬ Паштет из индейки 250г мясосод прод:12	Консервированные продукты	Консервы мясные	Паштеты консервированные	Паштеты консервированные
144950	0030637802067	МИХАЙЛОВ КУРЕНЬ Паштет кур/печ 250г мясосод прод(Рузком): 48	Консервированные продукты	Консервы мясные	Паштеты консервированные	Паштеты консервированные
144643	0053432342002	ГОРЯЧИЙ КЛЮЧ №2000 Мин вода газ 1,5л пл/бут(Пилигрим Аква):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
144692	54490086	COCA-COLA Напиток газ 0,25л с/б (Кока-Кола):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
150437	4607057270033	МОЛОЧНОЕ ИЗОБИЛИЕ Кефир 2,5% 0,5л фл/п(Энгельский МК):10	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
143941	4607025391036	ВЕСЕЛЫЙ МОЛОЧНИК Молоко стер 2,5% 1л ТБА (ВБД):12	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко стерилизованное
143764	-	Юбилейное Печенье Ореховое с глаз. 97,5г	Мучные кондитерские изделия	Мучные кондитерские изделия	Печенье	Печенье сахарное
143967	5000159373135	WHISKAS НЗ Kорм д/котят влаж рагу ягненок 85г:24	Продукция для животных	Корма для кошек	Влажные корма для кошек и котят	Влажные корма для котят
150881	4607098151063	Хлеб Пшеничный в/с 0,5кг (Колос)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой
122884	4606971000214	Водка Астраханочка 40% 0,5л (АЛВЗ):20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
123316	4600076113114	Коньяк Российский трехлетний 3* 40% 0,5л (Дербентский КК):6	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
123317	4600076113336	Коньяк "Пятизвездочный" 0,5л (Дербент):20	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
118236	4603476000237	АКСИНЬЯ Минер вода газ 1,5л пл/бут(Аква Дон):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
323840	4601570003062	Наст гор Русский обычай с огур 40%0,5л(Валуйский ЛВЗ):5	Крепкий алкоголь	Настойки	Настойки горькие	Настойки травяные
123026	-	К БАТОН с пшен. отрубями 1с. 300г.	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Булочные изделия	Булочные изделия целые
123640	4605572661886	Орех мясной (в)(Дубки)	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености в нарезке
123661	4601216002251	БОДРАЯ КОРОВА мороженое "Эскимо" 70 г (БХК): 26	Замороженная продукция	Мороженое	Мороженое порционное	Мороженое эскимо
327619	2014999001465	КУБАНСКОЕ РАЗНОСОЛЬЕ Икра из кабачков 480г с\б(ПК):12	Консервированные продукты	Консервы овощные и грибные	Икра овощная	Икра кабачковая
124690	4607018780397	Соломка Сладкая 1с 0,4кг фл/п (Волжский ХК):30	Мучные кондитерские изделия	Бараночные и сухарные изделия	Бараночные изделия	Соломка
124696	-	Кекс ромовый:1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Мелкоштучные хлебные изделия	Прочие мелкоштучные изделия
195995	4605955000349	Творог 9% 0,2кг фольга (Томмолоко)	Молочная продукция	Кисломолочные традиционные продукты	Творог	Традиционный творог
137918	4601486000025	САМКО Пиво-1 Свет 0,5л :20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
126656	2395576	Шпик по-домашнему перг (в)(ОМПК):7,6	Мясная гастрономия	Деликатесы	Сало, шпик	Сало, шпик
126661	2395701	Шпикачки Закусочные (в)ин/газ(ОМПК):8	Мясная гастрономия	Сосиски, сардельки	Сардельки	Сардельки
126700	4600657305044	МЕЧТА Йогурт пит клубника 1% 0,5л п/п(Останкинский МК):6	Молочная продукция	Йогурты	Йогурты питьевые	Питьевые пастеризованные йогурты
205478	2376166	Сосиски Докторские п/ам (в)(МиМП)	Мясная гастрономия	Сосиски, сардельки	Сосиски	Сосиски
126714	4607025398486	ДОМИК В ДЕРЕВНЕ Простокваша 3,2% 0,5л т/рекс(ВБД):12	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
126717	4607025398387	ДОМИК В ДЕРЕВНЕ Кефир 1л 3,2% т/рекс(ВБД)	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
199892	-	Хлеб белый формовой 1с 0,58кг (Волжский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой
126655	2330760	Бекон по испански в/у в/с мл/кус мясн/пр(Останкино):2	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености из беконной свинины
137975	5010677935036	Вермут Мартини Экстра Драй бел сух 1л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные белые	Вина ароматизированные белые
143964	4605922001812	BROOKE BOND Чай черный пакетированный 25х1,8 :24	Чай	Черный чай	Черный чай пакетированный классический	Чай черный пакетированный классический
146416	2034614	Грудинка Ароматная в/к (в) в/у мини (Камышинские колбасы)	Мясная гастрономия	Деликатесы	Копчености варено-копченые	Копчености из беконной свинины
135416	-	NIVEA Лосьон п/загара  200мл:24	Уход и гигиена	Загар (средства для загара)	Средства после загара	Средства после загара
353297	4606786000485	Водка Покровская особая 40% 0,25л (Бенат):30	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
146460	4605476000422	Пленка пищевая 20м Саяна в коробке(РусАл-Саянская фольга):24	Промышленные товары	Товары для Дома	Упаковка для выпечки и хранения продуктов	Пленка пищевая
146317	42070429	ORBIT ж/р Белоснежный фруктовый(Ригли):30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
139972	4601296001014	ПФ мясн/пр Пельмени Останкинские 0,5 кг к/уп (ОМПК):16	Замороженная продукция	Замороженные полуфабрикаты	Пельменная продукция	Пельмени
145977	50173808	ORBIT Ж/р Свитминт подушечки 14г(Ригли):30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
145978	40099484	ORBIT Белоснеж жев резин подушечки(Ригли):30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
145979	50173372	ORBIT Жевательная резинка классический(Ригли):20/360	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка детская
145982	42069942	ORBIT ж/р Белоснежн. освеж. Мята 14г(Ригли) :30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
145985	50173464	ORBIT Жевательная рез подушечки земляничные14г(Ригли):30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
145964	4600422005087	ПЫШКА Маргарин брикет 75% фол. 250г (Юнилевер):20	Молочная продукция	Масло и маргарин	Маргарин	Маргарин
145968	40099590	РИГЛИ Spearmint Ж/р пласт. 13г:20/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка пластины
145969	50173877	РИГЛИ Doublemint Ж/р пласт.13г:20/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка пластины
145971	50173976	ORBIT Жев резин Winterfresh подушечки(Ригли):30/600	Кондитерские изделия	Современные кондитерские изделия	Жевательная резинка	Жевательная резинка подушечки
